Repository,User,Pull number,Test,Situation,,
CS340Group_hit.csv,nickethier,1,TRUE,Merged,NA,NA
CS340Group_hit.csv,splodingsocks,8,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,a2lin,18585,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,abeyad,18247,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,achow,13799,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,albertzaharovits,30651,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,aleph-zero,6885,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,alexksikes,7059,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,alexshadow007,18615,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,andrejserafim,14415,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,andrershov,34710,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,andyb-elastic,30154,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,ankon,8452,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,asettouf,24274,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,astefan,34575,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,atorok,30384,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,awislowski,20251,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,benwtrent,34532,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,bizybot,30894,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,cbuescher,12729,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,chengpohi,19953,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,clintongormley,6571,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,costin,30126,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,Crazybus,30987,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,cwurm,18768,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,dadoonet,6734,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,dakrone,6609,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,danielmitterdorfer,14518,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,DaveCTurner,29355,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,david-cho-lerat-HL2,24954,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,davidkyle,25288,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,debadair,29594,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,dedemorton,25410,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,dimitris-athanasiou,24639,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,djschny,13426,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,dliappis,24090,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,dnhatn,29356,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,eskibars,13256,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,fhopf,6836,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,fred84,25370,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,geekpete,19566,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,gfyoung,18813,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,glefloch,23910,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,GlenRSmith,19318,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,gmarz,13844,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,golubev,7738,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,goyalmunish,20066,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,gwbrown,34617,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,HarishAtGitHub,12853,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,hendrikmuhs,30397,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,hub-cap,25779,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,jasontedor,12690,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,javanna,6511,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,jbaiera,19421,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,jdconrad,18262,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,jkakavas,30357,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,jmluy,8739,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,joachimdraeger,25268,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,jpountz,6497,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,jprante,7076,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,jtibshirani,29569,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,karmi,19047,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,kingrhoton,19603,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,KoenDG,24315,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,konradkonrad,6956,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,KOTungseth,35271,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,kunal642,24281,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,lcawl,24420,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,leathekd,29319,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,liketic,29307,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,lipsill,30890,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,MaineC,12808,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,martijnvg,6509,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,masaruh,13510,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,matarrese,25600,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,matriv,34580,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,mayya-sharipova,29322,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,mikelrob,6938,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,mP1,30251,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,Mpdreamz,8276,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,NeilRickards,25622,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,nik9000,6596,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,nirmalc,31180,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,nknize,8519,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,nomoa,12668,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,not-napoleon,34859,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,NULL,6867,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,olcbean,23762,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,original-brownbear,31525,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,palecur,13443,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,PandiyanCool,25139,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,pcsanwald,29481,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,peschlowp,6723,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,pgomulka,34527,TRUE,Merged,NA,NA
elasticsearch_elasticsearch.csv,PnPie,24406,TRUE,Merged,NA,NA
